week,day,clinic,shift_name,start_time,end_time,nurse_required,required_certifications,senior_required
1,Mon,C1,morning,08:00,16:00,2,general,1
1,Mon,C1,evening,14:00,22:00,2,general,0
1,Tue,C1,morning,08:00,16:00,2,general,1
1,Tue,C1,evening,14:00,22:00,2,general,0
1,Wed,C1,morning,08:00,16:00,2,"general,emergency",1
1,Wed,C1,evening,14:00,22:00,2,general,0
1,Thu,C1,morning,08:00,16:00,2,general,1
1,Thu,C1,evening,14:00,22:00,2,general,0
1,Fri,C1,morning,08:00,16:00,2,"general,pediatric",1
1,Fri,C1,evening,14:00,22:00,2,general,0
1,Sat,C1,morning,08:00,16:00,2,general,1
1,Sat,C1,evening,14:00,22:00,2,general,0
1,Sun,C1,morning,08:00,16:00,2,general,1
1,Sun,C1,evening,14:00,22:00,2,general,0
1,Mon,C2,morning,09:00,17:00,2,general,1
1,Mon,C2,afternoon,13:00,18:00,2,general,0
1,Tue,C2,morning,09:00,17:00,2,"general,pediatric",1
1,Tue,C2,afternoon,13:00,18:00,2,general,0
1,Wed,C2,morning,09:00,17:00,2,general,1
1,Wed,C2,afternoon,13:00,18:00,2,general,0
1,Thu,C2,morning,09:00,17:00,2,general,1
1,Thu,C2,afternoon,13:00,18:00,2,general,0
1,Fri,C2,morning,09:00,17:00,2,"general,chronic",1
1,Fri,C2,afternoon,13:00,18:00,2,general,0
1,Mon,C3,morning,08:00,16:00,2,general,1
1,Mon,C3,evening,13:00,20:00,2,general,0
1,Tue,C3,morning,08:00,16:00,2,general,1
1,Tue,C3,evening,13:00,20:00,2,general,0
1,Wed,C3,morning,08:00,16:00,2,"general,chronic",1
1,Wed,C3,evening,13:00,20:00,2,general,0
1,Thu,C3,morning,08:00,16:00,2,"general,emergency",1
1,Thu,C3,evening,13:00,20:00,2,general,0
1,Fri,C3,morning,08:00,16:00,2,general,1
1,Fri,C3,evening,13:00,20:00,2,general,0
1,Sat,C3,morning,08:00,16:00,2,general,1
1,Sat,C3,evening,13:00,20:00,2,general,0
2,Mon,C1,morning,08:00,16:00,2,general,1
2,Mon,C1,evening,14:00,22:00,2,general,0
2,Tue,C1,morning,08:00,16:00,2,general,1
2,Tue,C1,evening,14:00,22:00,2,general,0
2,Wed,C1,morning,08:00,16:00,2,"general,emergency",1
2,Wed,C1,evening,14:00,22:00,2,general,0
2,Thu,C1,morning,08:00,16:00,2,general,1
2,Thu,C1,evening,14:00,22:00,2,general,0
2,Fri,C1,morning,08:00,16:00,2,"general,pediatric",1
2,Fri,C1,evening,14:00,22:00,2,general,0
2,Sat,C1,morning,08:00,16:00,2,general,1
2,Sat,C1,evening,14:00,22:00,2,general,0
2,Sun,C1,morning,08:00,16:00,2,general,1
2,Sun,C1,evening,14:00,22:00,2,general,0
2,Mon,C2,morning,09:00,17:00,2,general,1
2,Mon,C2,afternoon,13:00,18:00,2,general,0
2,Tue,C2,morning,09:00,17:00,2,"general,pediatric",1
2,Tue,C2,afternoon,13:00,18:00,2,general,0
2,Wed,C2,morning,09:00,17:00,2,general,1
2,Wed,C2,afternoon,13:00,18:00,2,general,0
2,Thu,C2,morning,09:00,17:00,2,general,1
2,Thu,C2,afternoon,13:00,18:00,2,general,0
2,Fri,C2,morning,09:00,17:00,2,"general,chronic",1
2,Fri,C2,afternoon,13:00,18:00,2,general,0
2,Mon,C3,morning,08:00,16:00,2,general,1
2,Mon,C3,evening,13:00,20:00,2,general,0
2,Tue,C3,morning,08:00,16:00,2,general,1
2,Tue,C3,evening,13:00,20:00,2,general,0
2,Wed,C3,morning,08:00,16:00,2,"general,chronic",1
2,Wed,C3,evening,13:00,20:00,2,general,0
2,Thu,C3,morning,08:00,16:00,2,"general,emergency",1
2,Thu,C3,evening,13:00,20:00,2,general,0
2,Fri,C3,morning,08:00,16:00,2,general,1
2,Fri,C3,evening,13:00,20:00,2,general,0
2,Sat,C3,morning,08:00,16:00,2,general,1
2,Sat,C3,evening,13:00,20:00,2,general,0
