job_id,name,priority,due_day,earliest_start_day
J01,Part-01,high,3,1
J02,Part-02,normal,5,1
J03,Part-03,normal,4,1
J04,Part-04,normal,3,1
J05,Part-05,high,2,1
J06,Part-06,normal,3,2
J07,Part-07,normal,3,2
J08,Part-08,normal,3,1
J09,Part-09,normal,5,2
J10,Part-10,urgent,2,1
J11,Part-11,low,5,3
J12,Part-12,low,5,2
J13,Part-13,normal,4,2
J14,Part-14,low,5,3
J15,Part-15,normal,3,1
J16,Part-16,normal,3,1
J17,Part-17,normal,5,1
J18,Part-18,normal,3,1
J19,Part-19,urgent,2,1
J20,Part-20,urgent,2,1
J21,Part-21,normal,5,2
J22,Part-22,low,5,1
J23,Part-23,high,3,1
J24,Part-24,normal,5,1
J25,Part-25,high,3,1
J26,Part-26,high,3,1
J27,Part-27,normal,3,2
J28,Part-28,normal,5,1
J29,Part-29,high,3,1
J30,Part-30,high,3,1
J31,Part-31,normal,4,1
J32,Part-32,low,5,1
J33,Part-33,normal,5,1
J34,Part-34,high,3,1
J35,Part-35,normal,5,1
J36,Part-36,high,2,1
J37,Part-37,high,2,1
J38,Part-38,urgent,2,1
J39,Part-39,normal,3,2
J40,Part-40,urgent,2,1
