job_id,team,job_type,min_gpu_memory_gb,gpus_required,hours_required,priority,deadline_hour,preemptable,needs_infiniband,dataset_cached_node
J01,T1,pretrain,80,8,60,10,120,False,True,N1
J02,T1,pretrain,80,8,48,10,96,False,True,N2
J03,T1,pretrain,80,8,36,9,120,False,True,
J04,T1,pretrain,80,8,30,9,96,False,True,N1
J05,T1,pretrain,80,8,36,9,144,False,True,
J06,T1,pretrain,80,8,24,9,120,False,True,N2
J07,T1,pretrain,80,4,36,8,120,False,False,
J08,T1,pretrain,80,4,24,8,96,False,False,N1
J09,T1,pretrain,80,4,18,8,96,False,False,
J10,T1,finetune,80,4,12,7,60,False,False,N2
J11,T1,finetune,80,4,8,7,48,False,False,
J12,T1,finetune,80,2,10,7,72,False,False,
J13,T1,inference,40,2,4,6,24,True,False,
J14,T1,inference,40,2,4,6,36,True,False,
J15,T1,research,80,2,6,6,60,True,False,
J16,T2,pretrain,80,8,24,7,144,False,True,
J17,T2,pretrain,80,4,24,7,120,False,False,
J18,T2,finetune,80,4,18,7,96,False,False,
J19,T2,finetune,80,4,12,6,72,False,False,N3
J20,T2,finetune,80,4,12,6,84,False,False,
J21,T2,finetune,80,4,10,6,96,True,False,N4
J22,T2,finetune,40,2,8,6,48,True,False,
J23,T2,finetune,40,2,8,5,72,True,False,
J24,T2,finetune,80,2,8,6,96,True,False,
J25,T2,finetune,40,2,6,5,108,True,False,
J26,T2,finetune,40,2,6,5,120,True,False,
J27,T2,research,40,2,6,5,120,True,False,
J28,T2,inference,40,2,3,5,36,True,False,
J29,T2,inference,40,2,3,5,60,True,False,
J30,T2,inference,40,2,3,5,72,True,False,
J31,T3,inference,80,4,4,6,24,True,False,N3
J32,T3,inference,80,4,4,6,36,True,False,
J33,T3,inference,80,4,3,6,48,True,False,
J34,T3,inference,40,2,3,5,24,True,False,
J35,T3,inference,40,2,2,5,24,True,False,
J36,T3,inference,40,2,3,5,48,True,False,
J37,T3,inference,40,2,2,5,60,True,False,
J38,T3,inference,80,2,4,6,72,True,False,
J39,T3,inference,40,2,3,5,96,True,False,
J40,T3,inference,40,1,2,4,24,True,False,
J41,T3,inference,40,1,2,4,48,True,False,
J42,T3,research,40,2,6,4,120,True,False,
J43,T3,research,40,2,4,4,96,True,False,
J44,T3,research,40,1,4,4,72,True,False,
J45,T3,research,40,1,3,4,120,True,False,
J46,T4,research,40,2,12,4,120,True,False,
J47,T4,research,40,2,10,4,120,True,False,
J48,T4,research,40,2,8,4,96,True,False,
J49,T4,research,80,2,6,4,72,True,False,N5
J50,T4,research,40,2,8,3,144,True,False,
J51,T4,research,40,2,6,3,120,True,False,
J52,T4,research,40,1,6,3,144,True,False,
J53,T4,research,40,1,4,3,96,True,False,
J54,T4,research,40,2,4,3,72,True,False,
J55,T4,research,40,1,4,2,144,True,False,
J56,T4,finetune,40,2,6,3,108,True,False,
J57,T4,finetune,40,2,4,3,96,True,False,
J58,T4,inference,40,1,2,3,72,True,False,
J59,T4,inference,40,1,2,3,120,True,False,
J60,T4,debug,40,1,2,3,48,True,False,
J61,T5,research,16,1,4,2,120,True,False,
J62,T5,research,16,1,3,2,96,True,False,
J63,T5,research,16,1,3,2,144,True,False,
J64,T5,research,40,1,3,2,120,True,False,
J65,T5,research,40,1,2,2,144,True,False,
J66,T5,debug,16,1,2,1,120,True,False,
J67,T5,debug,16,1,1,1,72,True,False,
J68,T5,debug,16,1,1,1,144,True,False,
J69,T5,debug,16,1,1,1,96,True,False,
J70,T5,debug,16,1,1,1,168,True,False,
J71,T6,debug,16,1,1,10,24,False,False,
J72,T6,debug,16,1,2,10,48,False,False,
J73,T6,debug,40,1,1,10,24,False,False,
J74,T6,debug,16,1,1,10,12,False,False,
J75,T6,debug,16,1,1,10,48,False,False,
