day,shift_name,start_time,end_time,required_count,required_skills
Mon,morning,09:00,17:00,3,reception
Mon,afternoon,13:00,21:00,2,phone
Mon,night,21:00,05:00,2,phone
Tue,morning,09:00,17:00,3,reception
Tue,afternoon,13:00,21:00,2,phone
Tue,night,21:00,05:00,2,phone
Wed,morning,09:00,17:00,3,reception
Wed,afternoon,13:00,21:00,2,phone
Wed,night,21:00,05:00,2,phone
Thu,morning,09:00,17:00,3,reception
Thu,afternoon,13:00,21:00,2,phone
Thu,night,21:00,05:00,2,phone
Fri,morning,09:00,17:00,3,reception
Fri,afternoon,13:00,21:00,3,phone
Fri,night,21:00,05:00,2,phone
Sat,morning,09:00,17:00,2,reception
Sat,afternoon,13:00,21:00,2,phone
Sat,night,21:00,05:00,2,phone
Sun,morning,09:00,17:00,2,reception
Sun,afternoon,13:00,21:00,2,phone
Sun,night,21:00,05:00,2,phone
