engineer_id,skill,resolution_hours
E001,helpdesk,0.5
E001,helpdesk,0.8
E001,helpdesk,0.3
E001,helpdesk,1.0
E001,helpdesk,0.6
E001,helpdesk,0.4
E001,app_support,2.0
E001,app_support,1.8
E001,app_support,2.5
E001,app_support,1.5
E002,helpdesk,0.6
E002,helpdesk,0.4
E002,helpdesk,0.7
E002,helpdesk,0.5
E002,helpdesk,0.3
E002,monitoring,2.0
E002,monitoring,1.5
E002,monitoring,2.5
E002,monitoring,1.8
E002,monitoring,2.2
E003,app_support,1.5
E003,app_support,2.0
E003,app_support,1.8
E003,app_support,2.2
E003,app_support,1.0
E003,helpdesk,0.5
E003,helpdesk,0.7
E003,helpdesk,0.4
E003,helpdesk,0.8
E003,helpdesk,0.6
E004,helpdesk,0.4
E004,helpdesk,0.6
E004,helpdesk,0.5
E004,helpdesk,0.3
E004,infra,3.0
E004,infra,2.5
E004,infra,3.5
E004,infra,2.8
E004,infra,4.0
E004,infra,3.2
E005,monitoring,1.5
E005,monitoring,2.0
E005,monitoring,1.8
E005,monitoring,1.2
E005,monitoring,2.5
E005,helpdesk,0.5
E005,helpdesk,0.8
E005,helpdesk,0.6
E005,helpdesk,0.4
E005,helpdesk,0.7
E006,helpdesk,0.6
E006,helpdesk,0.4
E006,helpdesk,0.5
E006,helpdesk,0.7
E006,helpdesk,0.3
E006,app_support,1.8
E006,app_support,2.0
E006,app_support,1.5
E006,app_support,2.2
E006,app_support,1.6
E007,helpdesk,0.7
E007,helpdesk,0.5
E007,helpdesk,0.6
E007,helpdesk,0.8
E007,helpdesk,0.4
E007,network,3.0
E007,network,2.5
E007,network,3.5
E007,network,2.8
E007,network,3.2
E008,app_support,2.0
E008,app_support,1.5
E008,app_support,2.5
E008,app_support,1.8
E008,app_support,2.2
E008,monitoring,1.5
E008,monitoring,2.0
E008,monitoring,1.8
E008,monitoring,2.5
E008,monitoring,1.2
E009,app_support,1.0
E009,app_support,0.8
E009,app_support,1.2
E009,app_support,0.5
E009,app_support,1.5
E009,database,1.5
E009,database,2.0
E009,database,1.8
E009,database,1.2
E009,database,2.5
E009,cloud,2.0
E009,cloud,1.5
E009,cloud,2.5
E009,cloud,1.8
E009,cloud,2.2
E010,infra,1.5
E010,infra,1.0
E010,infra,2.0
E010,infra,1.2
E010,infra,1.8
E010,network,1.2
E010,network,1.5
E010,network,1.0
E010,network,2.0
E010,network,1.8
E010,monitoring,1.0
E010,monitoring,0.8
E010,monitoring,1.5
E010,monitoring,1.2
E010,monitoring,0.5
E011,network,1.5
E011,network,1.0
E011,network,2.0
E011,network,1.2
E011,network,1.8
E011,security,2.0
E011,security,1.5
E011,security,2.5
E011,security,1.8
E011,security,2.2
E011,infra,2.0
E011,infra,1.5
E011,infra,2.5
E011,infra,1.8
E011,infra,2.2
E012,database,1.5
E012,database,1.0
E012,database,2.0
E012,database,0.8
E012,database,1.8
E012,app_support,1.0
E012,app_support,0.8
E012,app_support,1.5
E012,app_support,1.2
E012,app_support,0.5
E012,cloud,1.5
E012,cloud,1.0
E012,cloud,2.0
E012,cloud,1.2
E012,cloud,1.8
E013,cloud,1.0
E013,cloud,1.5
E013,cloud,0.8
E013,cloud,1.2
E013,cloud,2.0
E013,infra,1.5
E013,infra,2.0
E013,infra,1.8
E013,infra,1.0
E013,infra,2.5
E013,monitoring,0.8
E013,monitoring,1.0
E013,monitoring,0.5
E013,monitoring,1.2
E013,monitoring,1.5
E014,security,1.5
E014,security,1.0
E014,security,2.0
E014,security,1.2
E014,security,1.8
E014,network,1.5
E014,network,2.0
E014,network,1.0
E014,network,1.8
E014,network,2.5
E014,app_support,1.5
E014,app_support,2.0
E014,app_support,1.0
E014,app_support,1.8
E014,app_support,2.5
E015,app_support,1.2
E015,app_support,1.0
E015,app_support,1.5
E015,app_support,0.8
E015,app_support,1.8
E015,infra,1.5
E015,infra,2.0
E015,infra,1.0
E015,infra,1.8
E015,infra,2.5
E015,database,1.0
E015,database,1.5
E015,database,0.8
E015,database,2.0
E015,database,1.2
E016,monitoring,1.0
E016,monitoring,0.5
E016,monitoring,1.5
E016,monitoring,0.8
E016,monitoring,1.2
E016,cloud,1.5
E016,cloud,1.0
E016,cloud,2.0
E016,cloud,0.8
E016,cloud,1.8
E016,network,2.0
E016,network,1.5
E016,network,2.5
E016,network,1.8
E016,network,1.0
E017,infra,0.8
E017,infra,0.5
E017,infra,1.0
E017,infra,0.6
E017,infra,1.2
E017,network,1.0
E017,network,0.8
E017,network,1.5
E017,network,0.5
E017,network,1.2
E017,security,1.2
E017,security,0.8
E017,security,1.5
E017,security,1.0
E017,security,0.5
E017,database,0.8
E017,database,0.5
E017,database,1.0
E017,database,1.2
E017,database,0.6
E018,cloud,0.8
E018,cloud,0.5
E018,cloud,1.0
E018,cloud,0.6
E018,cloud,1.2
E018,app_support,0.5
E018,app_support,0.8
E018,app_support,1.0
E018,app_support,0.6
E018,app_support,0.3
E018,security,1.0
E018,security,0.8
E018,security,1.5
E018,security,0.5
E018,security,1.2
E018,database,1.0
E018,database,0.8
E018,database,1.5
E018,database,0.5
E018,database,1.2
E019,network,0.5
E019,network,0.8
E019,network,1.0
E019,network,0.3
E019,network,0.6
E019,infra,0.8
E019,infra,0.5
E019,infra,1.0
E019,infra,0.6
E019,infra,1.2
E019,cloud,1.0
E019,cloud,0.5
E019,cloud,1.5
E019,cloud,0.8
E019,cloud,0.6
E019,security,0.8
E019,security,0.5
E019,security,1.0
E019,security,1.2
E019,security,0.6
E020,database,0.8
E020,database,0.5
E020,database,1.0
E020,database,0.6
E020,database,1.2
E020,app_support,1.0
E020,app_support,0.8
E020,app_support,1.5
E020,app_support,0.5
E020,app_support,1.2
E020,infra,1.0
E020,infra,0.8
E020,infra,1.5
E020,infra,0.5
E020,infra,1.2
E020,cloud,1.2
E020,cloud,0.8
E020,cloud,1.5
E020,cloud,0.5
E020,cloud,1.0
E001,helpdesk,0.7
E002,monitoring,1.8
E003,app_support,1.3
E004,infra,2.8
E005,monitoring,1.6
E006,app_support,1.9
E007,network,2.8
E008,app_support,1.6
E009,database,1.3
E010,infra,1.4
E011,security,1.8
E012,cloud,1.6
E013,cloud,1.1
E014,network,1.6
E015,database,1.3
E016,monitoring,0.9
E017,infra,0.7
E018,security,0.9
E019,network,0.7
E020,database,0.9
