record_id,engineer_id,skill,resolution_hours,was_multi_skill,was_swarming,role_in_swarming,priority,outcome
H0001,E001,helpdesk,0.6,False,False,,P3,resolved
H0002,E001,helpdesk,0.48,False,False,,P4,resolved_with_workaround
H0003,E001,helpdesk,0.42,False,False,,P1,resolved
H0004,E001,helpdesk,0.78,False,False,,P3,resolved_with_workaround
H0005,E001,helpdesk,0.56,False,False,,P2,resolved
H0006,E001,monitoring,1.09,False,False,,P4,resolved
H0007,E001,monitoring,1.09,False,False,,P2,resolved
H0008,E001,monitoring,1.17,False,False,,P3,resolved
H0009,E001,monitoring,1.16,False,False,,P4,resolved
H0010,E001,monitoring,1.17,False,False,,P3,resolved
H0011,E001,monitoring,1.42,False,False,,P4,resolved
H0012,E002,infra,2.18,False,False,,P4,resolved
H0013,E002,infra,2.45,False,False,,P1,escalated
H0014,E002,infra,1.81,False,False,,P2,resolved
H0015,E002,infra,1.23,False,False,,P1,escalated
H0016,E002,infra,0.92,False,False,,P3,resolved_with_workaround
H0017,E002,infra,2.08,False,False,,P2,escalated
H0018,E002,infra,2.71,False,False,,P4,resolved
H0019,E002,infra,1.38,False,False,,P3,resolved_with_workaround
H0020,E002,helpdesk,0.3,False,False,,P3,resolved
H0021,E002,helpdesk,0.5,False,False,,P3,resolved
H0022,E002,helpdesk,0.91,False,False,,P3,resolved
H0023,E002,helpdesk,0.67,False,False,,P4,resolved
H0024,E002,helpdesk,0.8,False,False,,P3,resolved
H0025,E002,helpdesk,0.93,False,False,,P3,resolved
H0026,E002,helpdesk,0.45,False,False,,P3,resolved
H0027,E002,helpdesk,0.52,False,False,,P3,resolved_with_workaround
H0028,E002,helpdesk,1.37,True,True,support,P1,resolved_with_workaround
H0029,E003,helpdesk,0.53,True,True,support,P1,resolved
H0030,E003,helpdesk,0.4,False,False,,P2,resolved
H0031,E003,helpdesk,0.62,False,False,,P3,resolved
H0032,E003,helpdesk,0.48,False,False,,P3,resolved
H0033,E003,helpdesk,0.85,False,False,,P3,resolved
H0034,E003,helpdesk,0.89,True,True,support,P3,resolved
H0035,E003,helpdesk,1.74,True,True,,P4,resolved
H0036,E003,helpdesk,0.56,False,False,,P2,resolved_with_workaround
H0037,E003,app_support,4.0,True,False,,P3,resolved
H0038,E003,app_support,1.24,False,False,,P1,resolved
H0039,E003,app_support,1.77,False,False,,P1,escalated
H0040,E003,app_support,1.65,False,False,,P4,resolved
H0041,E003,app_support,1.26,False,False,,P2,resolved
H0042,E003,app_support,0.99,False,False,,P4,resolved_with_workaround
H0043,E003,app_support,0.99,False,False,,P3,resolved_with_workaround
H0044,E003,app_support,1.55,False,False,,P3,resolved_with_workaround
H0045,E003,app_support,1.46,True,False,,P3,resolved
H0046,E004,infra,2.39,False,False,,P4,resolved
H0047,E004,infra,1.52,False,False,,P1,resolved
H0048,E004,infra,0.94,False,False,,P2,resolved
H0049,E004,infra,1.77,False,False,,P3,resolved
H0050,E004,infra,2.89,True,True,support,P3,resolved
H0051,E004,infra,3.17,False,False,,P2,escalated
H0052,E004,infra,1.62,False,False,,P3,escalated
H0053,E004,infra,1.96,False,False,,P3,resolved
H0054,E004,infra,2.35,False,False,,P1,resolved_with_workaround
H0055,E004,app_support,1.64,False,False,,P1,resolved_with_workaround
H0056,E004,app_support,0.59,False,False,,P1,resolved
H0057,E004,app_support,1.33,False,False,,P3,resolved
H0058,E004,app_support,1.0,False,False,,P1,resolved
H0059,E004,app_support,1.38,False,False,,P3,resolved
H0060,E004,app_support,1.36,False,False,,P3,escalated
H0061,E004,app_support,1.14,False,False,,P2,escalated
H0062,E004,app_support,1.59,False,False,,P3,resolved
H0063,E004,app_support,1.5,False,False,,P1,resolved_with_workaround
H0064,E004,app_support,4.54,True,True,support,P1,resolved_with_workaround
H0065,E005,app_support,1.62,False,False,,P4,resolved
H0066,E005,app_support,2.1,False,False,,P4,resolved
H0067,E005,app_support,0.87,False,False,,P2,resolved
H0068,E005,app_support,1.2,False,False,,P3,resolved
H0069,E005,app_support,1.27,False,False,,P4,resolved
H0070,E005,app_support,1.0,False,False,,P1,resolved
H0071,E005,network,1.83,False,False,,P1,resolved
H0072,E005,network,3.33,False,False,,P1,resolved
H0073,E005,network,2.38,False,False,,P3,resolved
H0074,E005,network,1.38,False,False,,P2,resolved
H0075,E005,network,1.76,False,False,,P2,resolved
H0076,E005,network,2.31,False,False,,P3,resolved
H0077,E005,monitoring,3.94,True,True,,P3,escalated
H0078,E005,monitoring,1.38,False,False,,P1,resolved
H0079,E005,monitoring,1.43,False,False,,P1,resolved
H0080,E005,monitoring,1.09,False,False,,P3,resolved
H0081,E005,monitoring,1.25,False,False,,P3,resolved_with_workaround
H0082,E005,monitoring,1.14,False,False,,P3,resolved
H0083,E005,monitoring,1.75,False,False,,P4,escalated
H0084,E005,monitoring,0.98,False,False,,P4,resolved
H0085,E005,monitoring,1.07,False,False,,P2,resolved
H0086,E005,monitoring,1.44,False,False,,P3,resolved
H0087,E006,app_support,0.79,False,False,,P1,escalated
H0088,E006,app_support,2.48,False,False,,P3,resolved
H0089,E006,app_support,0.96,False,False,,P3,resolved_with_workaround
H0090,E006,app_support,2.44,False,False,,P2,escalated
H0091,E006,app_support,1.98,True,False,lead,P4,resolved
H0092,E006,app_support,1.15,False,False,,P3,escalated
H0093,E006,app_support,2.47,False,False,,P4,resolved_with_workaround
H0094,E006,app_support,2.1,False,False,,P3,resolved
H0095,E006,app_support,1.27,False,False,,P3,escalated
H0096,E006,network,2.11,False,False,,P4,escalated
H0097,E006,network,1.36,False,False,,P3,escalated
H0098,E006,network,3.03,True,False,,P1,resolved
H0099,E006,network,1.18,False,False,,P4,resolved
H0100,E006,network,2.95,True,True,,P1,escalated
H0101,E006,network,2.65,False,False,,P1,resolved
H0102,E006,network,1.67,False,False,,P1,escalated
H0103,E006,network,1.27,False,False,,P2,resolved_with_workaround
H0104,E007,monitoring,1.59,False,False,,P3,escalated
H0105,E007,monitoring,1.39,False,False,,P3,resolved
H0106,E007,monitoring,1.51,False,False,,P1,resolved
H0107,E007,monitoring,0.9,False,False,,P4,resolved_with_workaround
H0108,E007,monitoring,1.71,False,False,,P3,escalated
H0109,E007,monitoring,1.06,False,False,,P3,resolved
H0110,E007,monitoring,0.91,False,False,,P4,escalated
H0111,E007,monitoring,1.38,False,False,,P2,resolved
H0112,E007,helpdesk,0.62,False,False,,P3,resolved
H0113,E007,helpdesk,0.79,True,False,lead,P3,escalated
H0114,E007,helpdesk,0.42,False,False,,P3,resolved
H0115,E007,helpdesk,0.5,False,False,,P3,resolved
H0116,E007,helpdesk,0.32,False,False,,P3,resolved
H0117,E007,helpdesk,0.48,True,False,support,P4,resolved
H0118,E007,helpdesk,0.34,False,False,,P4,resolved
H0119,E007,helpdesk,0.83,False,False,,P3,resolved
H0120,E008,monitoring,1.15,False,False,,P2,resolved
H0121,E008,monitoring,1.32,False,False,,P2,escalated
H0122,E008,monitoring,0.81,False,False,,P3,resolved
H0123,E008,monitoring,1.37,False,False,,P3,resolved_with_workaround
H0124,E008,monitoring,1.03,False,False,,P3,resolved
H0125,E008,monitoring,1.45,False,False,,P1,resolved
H0126,E008,monitoring,0.73,False,False,,P1,resolved_with_workaround
H0127,E008,monitoring,1.17,False,False,,P4,resolved_with_workaround
H0128,E008,monitoring,1.47,False,False,,P4,resolved
H0129,E008,monitoring,1.4,True,False,lead,P3,resolved_with_workaround
H0130,E008,infra,2.08,False,False,,P3,resolved_with_workaround
H0131,E008,infra,1.63,False,False,,P1,resolved_with_workaround
H0132,E008,infra,1.54,False,False,,P3,resolved
H0133,E008,infra,1.67,False,False,,P2,resolved_with_workaround
H0134,E008,infra,1.71,False,False,,P3,escalated
H0135,E008,infra,1.9,False,False,,P4,resolved
H0136,E008,infra,2.55,False,False,,P2,resolved
H0137,E008,helpdesk,0.59,False,False,,P3,escalated
H0138,E008,helpdesk,0.24,False,False,,P1,resolved
H0139,E008,helpdesk,0.36,False,False,,P3,resolved
H0140,E008,helpdesk,0.43,False,False,,P1,resolved
H0141,E008,helpdesk,0.44,False,False,,P2,resolved_with_workaround
H0142,E008,helpdesk,0.59,False,False,,P3,resolved
H0143,E009,network,3.35,True,False,support,P3,resolved
H0144,E009,network,1.71,False,False,,P3,resolved
H0145,E009,network,1.93,False,False,,P1,resolved
H0146,E009,network,3.2,False,False,,P4,resolved
H0147,E009,network,3.33,True,False,support,P3,resolved
H0148,E009,network,1.35,False,False,,P1,escalated
H0149,E009,network,2.77,False,False,,P2,escalated
H0150,E009,network,1.52,False,False,,P1,resolved
H0151,E009,network,1.42,False,False,,P3,resolved_with_workaround
H0152,E009,network,2.25,False,False,,P4,resolved
H0153,E009,helpdesk,0.44,False,False,,P4,escalated
H0154,E009,helpdesk,0.28,False,False,,P1,resolved
H0155,E009,helpdesk,0.33,False,False,,P4,resolved
H0156,E009,helpdesk,0.66,False,False,,P4,resolved
H0157,E009,helpdesk,0.53,False,False,,P1,resolved_with_workaround
H0158,E010,infra,2.01,False,False,,P2,resolved
H0159,E010,infra,1.51,False,False,,P3,resolved
H0160,E010,infra,3.77,True,False,support,P1,resolved
H0161,E010,infra,1.2,False,False,,P2,resolved
H0162,E010,infra,2.27,False,False,,P3,resolved
H0163,E010,infra,4.16,True,True,lead,P3,escalated
H0164,E010,infra,3.61,True,True,support,P3,resolved
H0165,E010,infra,1.69,False,False,,P1,resolved
H0166,E010,app_support,1.4,False,False,,P3,resolved_with_workaround
H0167,E010,app_support,2.17,False,False,,P3,escalated
H0168,E010,app_support,1.47,False,False,,P1,resolved
H0169,E010,app_support,2.02,False,False,,P4,resolved_with_workaround
H0170,E010,app_support,3.33,True,False,support,P1,resolved
H0171,E010,app_support,1.45,False,False,,P1,resolved
H0172,E010,app_support,1.88,False,False,,P4,escalated
