week,day,shift_name,start_time,end_time,worker_required,supervisor_required,required_skills,bilingual_required
1,Mon,morning,09:00,17:00,5,1,reception,no
1,Mon,afternoon,13:00,21:00,4,1,phone,no
1,Mon,night,21:00,05:00,3,1,phone,no
1,Tue,morning,09:00,17:00,5,1,reception,yes
1,Tue,afternoon,13:00,21:00,4,1,phone,no
1,Tue,night,21:00,05:00,3,1,phone,no
1,Wed,morning,09:00,17:00,5,1,reception,no
1,Wed,afternoon,13:00,21:00,4,1,phone,no
1,Wed,night,21:00,05:00,3,1,phone,no
1,Thu,morning,09:00,17:00,5,1,reception,yes
1,Thu,afternoon,13:00,21:00,5,2,phone,yes
1,Thu,night,21:00,05:00,3,1,phone,no
1,Fri,morning,09:00,17:00,5,1,reception,no
1,Fri,afternoon,13:00,21:00,5,2,phone,yes
1,Fri,night,21:00,05:00,3,1,phone,no
1,Sat,morning,09:00,17:00,3,1,reception,no
1,Sat,afternoon,13:00,21:00,3,1,phone,no
1,Sat,night,21:00,05:00,3,1,phone,no
1,Sun,morning,09:00,17:00,3,1,reception,no
1,Sun,afternoon,13:00,21:00,3,1,phone,no
1,Sun,night,21:00,05:00,3,1,phone,no
2,Mon,morning,09:00,17:00,5,1,reception,no
2,Mon,afternoon,13:00,21:00,4,1,phone,no
2,Mon,night,21:00,05:00,3,1,phone,no
2,Tue,morning,09:00,17:00,5,1,reception,yes
2,Tue,afternoon,13:00,21:00,4,1,phone,no
2,Tue,night,21:00,05:00,3,1,phone,no
2,Wed,morning,09:00,17:00,5,1,reception,no
2,Wed,afternoon,13:00,21:00,4,1,phone,no
2,Wed,night,21:00,05:00,3,1,phone,no
2,Thu,morning,09:00,17:00,5,1,reception,yes
2,Thu,afternoon,13:00,21:00,5,2,phone,yes
2,Thu,night,21:00,05:00,3,1,phone,no
2,Fri,morning,09:00,17:00,5,1,reception,no
2,Fri,afternoon,13:00,21:00,5,2,phone,yes
2,Fri,night,21:00,05:00,3,1,phone,no
2,Sat,morning,09:00,17:00,3,1,reception,no
2,Sat,afternoon,13:00,21:00,3,1,phone,no
2,Sat,night,21:00,05:00,3,1,phone,no
2,Sun,morning,09:00,17:00,3,1,reception,no
2,Sun,afternoon,13:00,21:00,3,1,phone,no
2,Sun,night,21:00,05:00,3,1,phone,no
